Word,Count
/,133
=,69
-,30
to,27
the,27
<summary>,24
</summary>,24
2,17
1,17
0,16
is,13
a,12
of,12
in,11
fractal,10
file,10
and,10
\Count,\,10
variables,9
Fixed,9
border,8
with,8
Random,8
properties,8
window,7
new,7
if,7
node,7
are,6
save,6
algorithm,6
from,6
method,6
do,6
range,6
check,6
KeyFile,6
The,6
number,6
size,6
array,5
an,5
Get,5
清除任何使用中的資源。,5
+,5
then,5
這個方法的內容。,5
請勿使用程式碼編輯器修改,5
I,5
Form,5
Search,5
map,5
data,5
Windows,5
此為設計工具支援所必須的方法,5
nodes,5
Output,5
(*),5
2D,5
real,4
arrays,4
bitmap,4
},4
{,4
j,4
FormSearchResults,4
create,4
<,4
case,4
search,4
Fractal,4
Initialize,4
的摘要描述。,4
Save,4
name,4
Calculate,4
matching,4
\1,\,4
New,4
time,4
Queue,4
Window,4
設計工具支援的必要項,4
,3
text,3
we,3
FormDebug,3
first,3
pattern,3
textBoxTime.Text,3
format,3
managed,3
FormDisplay,3
Regex,3
current,3
bigger,3
when,3
one,3
for,3
motion,3
results,3
end,3
pixel,3
Current,3
Spectral,3
Brownian,3
values,3
Synthesis,3
good,3
KeyName,3
4way,3
progress,3
Set,3
image,3
calculate,3
more,3
output,3
only,3
FormControl,3
Display,3
*,3
\Yes,\,3
axis,3
manipulation,3
MapGenerator,3
Find,3
random,3
Show,3
Priority,3
No,3
DepthFirstSearch,3
process,3
8way,3
unmanaged,3
\Search,\,3
(double)(_task.TotalTime,2
lastEntry,2
DateTime.Now.Ticks),2
after,2
entry,2
parent,2
points,2
lattice,2
Label_Found,2
relative,2
can,2
threading,2
\String.Format("\Timing:\,2
count,2
closing,2
files,2
\range,\,2
input,2
largest,2
Gaussian,2
文件。,2
have,2
not,2
(or,2
4,2
\Seconds"\,\,2
pick,2
lower,2
Microsoft,2
polygons,2
H,2
\None,\,2
last,2
rule,2
break;,2
plan,2
underscore,2
target,2
value,2
-max,2
copy,2
i,2
Array,2
UI,2
else,2
color,2
string,2
pixels,2
PriorityQueue,2
domain,2
same,2
CSP,2
postfix,2
Check,2
pathAlgorithm,2
_byteMap,2
Image,2
box,2
DepthFirst,2
added,2
+j,2
Generation,2
run,2
Random(unchecked((int)DateTime.Now.Ticks));,2
+max,2
position,2
\fillRate,\,2
ProgressBar_Total,2
button,2
matrix,2
PathSearcherInput,2
fill,2
(int,2
used,2
pass,2
down,2
byte,2
Jump,2
\way,\,2
Disable,2
noise,2
between,2
once,2
Fourier,2
{0:0.0},2
Number,2
\array,\,2
default,2
title,2
Build,2
\Search"\;\,2
place,2
at,2
width,2
Private,2
rand,2
\"\);\,2
this,2
.NET,2
absolute,2
timer,2
\algorithm,\,2
child,2
RNG,2
set,2
class,2
This,2
synthesis,2
as,2
two,2
times,2
height,2
